ID,Nome,Tipo,HP,Descrizione,Length,Weight,Level
1,Alakazam,Psychic,80,Psi Pokémon.,4’11’’,106,42
2,Blastoise,Water,100,Shellfish Pokémon.,5’3’’,189,52
3,Chansey,Fairy,120,Egg Pokémon.,3’7’’,76,55
4,Charizard,Fire,120,Flame Pokémon.,5’7’’,200,76
5,Clefairy,Fairy,40,Fairy Pokémon.,2’0’’,17,14
6,Gyrados,Water,100,Atrocious Pokémon.,21’4’’,518,41
7,Hitmonchan,Fighting,70,Punching Pokémon.,4’7’’,111,33
8,Machamp,Fighting,100,Superpower Pokémon.,5’3’’,287,67
9,Magneton,Electric,60,Magnet Pokémon.,3’3’’,132,28
10,Mewtwo,Psychic,60,Genetic Pokémon.,6’7’’,269,53
11,Nidoking,Grass,90,Drill Pokémon.,4’7’’,137,48
12,Ninetales,Fire,80,Fox Pokémon.,3’7’’,44,32
13,Poliwrath,Water,90,Tadpole Pokémon.,4’3’’,119,48
14,Raichu,Electric,80,Mouse Pokémon.,2’7’’,66,40
15,Venusaur,Grass,100,Seed Pokémon.,6’7’’,221,67
16,Zapdos,Electric,90,Electric Pokémon.,5’3’’,116,64
17,Beedrill,Grass,80,Poison bee Pokémon.,3’3’’,65,32
18,Dragonair,Fairy,80,Dragon Pokémon.,13’1’’,36,33
19,Dugtrio,Fighting,70,Mole Pokémon.,2’4’’,73,36
20,Electabuzz,Electric,70,Electric Pokémon.,3’7’’,66,35
21,Electrode,Electric,80,"Ball Pokémon,",3’11’’,147,40
22,Pidgeotto,Fairy,60,Bird Pokémon.,3’7’’,66,36
23,Arcanine,Fire,100,Legendary Pokémon.,6’3’’,342,45
24,Charmeleon,Fire,80,Flame Pokémon.,3’7’’,42,32
25,Dewgong,Water,80,"Sea lion Pokémon,",5’7’’,265,42
26,Dratini,Fairy,40,Dragon Pokémon.,5’11’’,7,10
27,Farfecth’d,Fairy,50,Wild duck Pokémon.,2’7’’,33,20
28,Growlithe,Fire,60,Puppy Pokémon.,2’4’’,42,58
29,Haunter,Psychic,60,Gas Pokémon.,5’3’’,0.2,22
30,Ivysaur,Grass,60,Seed Pokémon.,3’3’’,29,20
31,Jynx,Psychic,70,Human Shape Pokémon.,4’7’’,90,23
32,Kadabra,Psychic,60,Psi Pokémon.,4’3’’,125,38
33,Kakuna,Grass,80,Cocoon Pokémon.,2’0’’,22,23
34,Machoke,Fighting,80,Superpower Pokémon.,4’11’’,155,40
35,Magikarp,Water,30,Fish Pokémon.,2’11’’,22,8
36,Magmar,Fire,50,Spitfire Pokémon.,4’3’’,98,24
37,Nidorino,Grass,60,Poison pin Pokémon.,2’11’’,43,25
38,Poliwhirl,Water,60,Tadpole Pokémon.,3’4’’,44,28
39,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,NULL,NULL,NULL,NULL,NULL,NULL,NULL
41,NULL,NULL,NULL,NULL,NULL,NULL,NULL
42,NULL,NULL,NULL,NULL,NULL,NULL,NULL
43,NULL,NULL,NULL,NULL,NULL,NULL,NULL
44,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,NULL,NULL,NULL,NULL,NULL,NULL,NULL
51,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,NULL,NULL,NULL,NULL,NULL,NULL,NULL
54,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55,NULL,NULL,NULL,NULL,NULL,NULL,NULL
56,NULL,NULL,NULL,NULL,NULL,NULL,NULL
57,NULL,NULL,NULL,NULL,NULL,NULL,NULL
58,NULL,NULL,NULL,NULL,NULL,NULL,NULL
59,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60,NULL,NULL,NULL,NULL,NULL,NULL,NULL
61,NULL,NULL,NULL,NULL,NULL,NULL,NULL
62,NULL,NULL,NULL,NULL,NULL,NULL,NULL
63,NULL,NULL,NULL,NULL,NULL,NULL,NULL
64,NULL,NULL,NULL,NULL,NULL,NULL,NULL
65,NULL,NULL,NULL,NULL,NULL,NULL,NULL
66,NULL,NULL,NULL,NULL,NULL,NULL,NULL
67,NULL,NULL,NULL,NULL,NULL,NULL,NULL
68,NULL,NULL,NULL,NULL,NULL,NULL,NULL
69,NULL,NULL,NULL,NULL,NULL,NULL,NULL
70,Clefairy Doll,TRAINER,10,Play Clefairy Doll as…,NULL,NULL,NULL
71,Computer Search,TRAINER,NULL,Discard 2 of the other…,NULL,NULL,NULL
72,Devolution Spray,TRAINER,NULL,Choose 1 of your own…,NULL,NULL,NULL
73,Impostor Professor Oak,TRAINER,NULL,Your opponent shuffles…,NULL,NULL,NULL
74,Item Finder,TRAINER,NULL,Discard 2 of the other…,NULL,NULL,NULL
75,Lass,TRAINER,NULL,You and your opponent…,NULL,NULL,NULL
76,Pokémon Bredder,TRAINER,NULL,Put a stage 2 evolution…,NULL,NULL,NULL
